duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
2703,udp,ssh,S1,1183,2519,0,0,1,17,2,1,7,0,0,3,7,1,7,1,361,451,0.994302086088291,0.9968043034983232,0.6678622386599886,0.8630724358108658,0.6740028540942502,0.7564437856364796,0.9242762320997423,218,225,0.0901250908060931,0.2873600202717881,0.44960460756866205,0.08603015113368362,0.370670407702562,0.07368869161336133,0.010819164050687835,0.736170891054856,0
648,tcp,ftp,REJ,44235,42419,0,3,1,0,1,0,8,0,0,14,6,0,1,2,360,393,0.15558427417382759,0.782802678742879,0.20147515776213676,0.2198068738512866,0.32862101276447353,0.4008970786784206,0.6865274115286583,160,114,0.15420225278506938,0.339809574488654,0.008949507208299123,0.47206017073043194,0.057529774250653753,0.7343252844461063,0.3687103931614728,0.18571774192214752,0
1578,udp,ssh,S1,3564,42151,0,3,1,7,4,1,5,0,0,13,5,2,3,0,84,259,0.23268504855839378,0.8910679871726739,0.7033837194469892,0.2685778381747542,0.6930579948178592,0.855643831412965,0.6738897820814886,9,82,0.7700043933703989,0.11626092175130409,0.42931420654002583,0.07464486269443382,0.9437658946864403,0.9063962551946174,0.5370530913914584,0.7586370547703082,1
4179,icmp,pop3,S1,1921,16930,0,0,1,20,0,0,1,1,0,17,8,4,9,0,161,167,0.2757764382566782,0.12668017431244627,0.9706281399879135,0.3704818971171241,0.05772837041787926,0.7815697160561541,0.9128549271420577,153,28,0.7948226017207269,0.13077263595908306,0.7692180808706168,0.15441509687141597,0.7335205518154576,0.48226694350314714,0.16325033960137136,0.9801965551800594,1
3186,udp,telnet,S1,44570,7371,0,1,2,28,0,0,2,0,0,17,9,4,0,1,218,209,0.9578139469259087,0.15317474316102608,0.40592949690356017,0.2979746928047644,0.15712945256785738,0.6186377200463445,0.8999103249058418,219,22,0.940684014428946,0.31351044483451795,0.10691871660677887,0.18620441563363632,0.2949299122298019,0.5753533103934606,0.7673576468491833,0.5351268756923897,1
2220,tcp,ssh,SF,30764,36302,0,4,0,19,4,0,5,0,0,0,3,2,0,0,26,499,0.21095301414089984,0.8077884487168994,0.3928806714094809,0.42054207421708867,0.30592594471057766,0.6903649054515052,0.6384788702305565,30,239,0.5254277913914805,0.7245383973812611,0.38690024376263066,0.47987366165477796,0.5494075150216876,0.7219088065871941,0.9318763291675908,0.9613173768662314,0
1862,tcp,ssh,SF,25309,29406,0,0,1,23,3,0,4,0,0,3,0,3,0,1,48,35,0.11889730203729842,0.965889940871282,0.2748353075432608,0.32871228358054727,0.06309689817735298,0.6055594852635802,0.41211319028207194,230,113,0.10176035133384631,0.9657414003723086,0.9189850175876162,0.40919415842962215,0.06857125342878911,0.35947392410124357,0.4056837815891118,0.5590437008040888,0
3600,icmp,http,S0,26243,19517,0,2,1,21,2,1,8,1,0,19,7,4,6,0,431,449,0.4849162850932346,0.0668961433683698,0.4136615539350351,0.34276984321242265,0.0336284625577582,0.9760830055409511,0.8793158754991602,168,215,0.0807326405117752,0.46740548350896916,0.8499386859100216,0.9026442685888578,0.1341964997915095,0.8797600982689582,0.06446238010762917,0.3202987757429866,0
3230,udp,http,S1,26579,8067,0,2,2,3,2,1,4,0,0,1,5,0,2,1,105,156,0.07423948214865572,0.634334307189716,0.11003355230488798,0.31104607536663664,0.1177194581472012,0.044833240010756836,0.9770525774374281,18,60,0.8456552943057296,0.960001247497296,0.005959416171152254,0.7965636951925408,0.3760391030372521,0.9911782606387934,0.011233041424614232,0.93942053253985,0
2706,icmp,telnet,RSTR,35574,29218,0,4,2,17,4,1,5,1,0,2,0,4,3,2,25,258,0.6453517645313853,0.9432144082961159,0.8468847909731382,0.49549693128340866,0.3647458165912705,0.23403142738505212,0.43156274852793597,216,165,0.6847368556274686,0.7246619091352529,0.763180155541337,0.19160046055270885,0.5578651158934866,0.4845443199869247,0.7806919633441037,0.008808694633086644,0
