duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
2827,tcp,dns,REJ,7962,31941,1,4,1,4,1,0,6,0,0,16,6,4,8,2,139,424,0.33851953618492303,0.4982085369611081,0.9562243074397507,0.2044578136239551,0.9979902916634483,0.7601657300224672,0.8864773955160807,207,220,0.6405521047917137,0.827430661509121,0.8697941843723609,0.8240288105008934,0.2763035796799058,0.08892974700015888,0.22440767442874532,0.18084025368382928,0
3743,tcp,telnet,SF,41031,48442,0,1,1,10,3,1,6,0,0,16,2,4,0,1,23,3,0.2643956149976059,0.1870540665448004,0.13044245101873486,0.24541798055015174,0.4536159831669653,0.8370087310637035,0.8891874024396028,242,117,0.9896179649431023,0.978893442845181,0.7799511718994429,0.054964423153669006,0.8911265759602381,0.8438298277632553,0.23847320767669455,0.5816905197133764,0
4347,icmp,telnet,S0,40070,25958,0,0,0,16,1,0,8,0,0,10,8,1,0,1,494,86,0.4763149280757154,0.16772962694484583,0.3329333086890418,0.6392668259759992,0.3195491290787208,0.3858548809755332,0.2466349737097513,74,70,0.9836391241689126,0.7611967022823796,0.09463456372702495,0.712174137251331,0.4611790704520192,0.9121454384311,0.9627042764663786,0.6911690610580375,0
830,tcp,http,SH,22470,19602,0,0,0,3,4,0,2,0,0,8,5,1,9,2,308,136,0.20397081693934227,0.8864110918006072,0.8687110076084161,0.14431848143444237,0.2714055363419535,0.21953628770945566,0.1299867107824173,26,153,0.6533338315570161,0.717684986595611,0.6625608411822035,0.6151431860595692,0.767926800432494,0.585334854382467,0.918231529298105,0.7664450687184805,0
2941,tcp,ftp,S0,46740,5944,0,3,2,16,1,1,5,1,0,12,1,3,7,0,312,38,0.663949767776225,0.1617510644334098,0.8549938122986495,0.35209624896222413,0.38086937839375357,0.7547806836432541,0.41869970211156504,238,111,0.5824977627843715,0.20193742272197734,0.4967013028038768,0.7663305208835763,0.5383399420925853,0.4343027390547549,0.7043080516981182,0.9254453188521224,1
3734,icmp,smtp,S0,14856,21746,0,2,1,28,5,0,0,0,0,8,1,1,6,2,247,131,0.07593316440550701,0.3944547282105676,0.9133878957807248,0.4740914298256582,0.7058591296410809,0.13616724157248183,0.9313589179309388,32,143,0.6233871432930718,0.9782015265933183,0.18010090648038757,0.2486037813930293,0.6426916453308951,0.383498379071155,0.5539348827394454,0.2096417697539713,1
2224,tcp,dns,S0,49955,29677,0,4,0,9,2,1,7,0,0,11,2,4,7,1,418,186,0.40200509749266233,0.12209344856881699,0.9083186569517131,0.23952791143832985,0.24953977407356398,0.5104505530037269,0.7232041948965684,115,115,0.5347028599345055,0.431757164963985,0.15017776931791238,0.3108916882042243,0.16105505756935723,0.19187007978380122,0.6031630588224602,0.714813995791544,1
528,tcp,http,REJ,17541,26392,0,1,1,4,3,1,0,0,0,3,1,1,2,1,42,261,0.9978588937147562,0.890656259251143,0.7742893486015724,0.08567426432575298,0.8191782576579546,0.03038149014154745,0.9119710229005591,91,235,0.9230030943129934,0.8671718872463781,0.4351876878403389,0.8296442856792001,0.3909121705172087,0.7955233986622582,0.11437821838086526,0.0492187112133734,0
1012,icmp,dns,S1,4977,45604,0,2,0,20,4,0,9,0,0,9,2,2,8,2,289,374,0.20742611152627388,0.3101445083501846,0.028456028584440185,0.8532379780877611,0.9186183563322632,0.7252943511623252,0.03608436428498785,16,16,0.19240300020355783,0.838118622229177,0.4360290032656109,0.5214968085267202,0.3529467851646364,0.0678614313241338,0.425941237483348,0.4216594911929288,0
1392,tcp,dns,S0,46558,16545,0,3,2,12,4,1,8,0,0,15,9,2,9,0,128,387,0.5439092720418449,0.2875121355290515,0.8669143576568669,0.48818531074550164,0.27844085205669755,0.560196787297531,0.07582372779513746,68,48,0.74407016425185,0.1764891569400664,0.16334631260304688,0.45997419130969497,0.41412676133281423,0.08401515629967127,0.36969531465253724,0.8423896842026978,0
