duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
3597,tcp,ssh,SH,46346,13536,0,1,0,5,0,0,1,0,0,17,2,0,0,1,91,109,0.9959071939495084,0.030517834233870333,0.11911166439633225,0.26515648586812546,0.32501072254916963,0.9603065404846725,0.3295277566606126,33,157,0.2345227115424624,0.001528139908971049,0.6600714582878344,0.009101965777133847,0.007393745438737387,0.0429920505247775,0.7109831556224765,0.6415897000161863,1
4267,tcp,http,S0,2164,18298,0,1,1,0,0,0,1,0,0,6,7,2,8,0,2,364,0.3751088236157578,0.7215366368866716,0.30188312602480893,0.4145608904951127,0.7042949848892338,0.6844685354331853,0.44820405059340085,203,35,0.36015808178077324,0.6312581075582044,0.46091422954704653,0.266229329694083,0.02832907105234672,0.9101124212571756,0.47545537400086413,0.5558003073951684,0
414,tcp,pop3,REJ,18606,30575,0,1,2,29,1,0,6,0,0,11,2,3,3,1,407,262,0.21985867656917235,0.05107138008990897,0.44805089290239397,0.4201357433018026,0.9861827761210391,0.9911708486861083,0.2270039492625533,89,161,0.45306709586945737,0.06925846373489875,0.3675868608440378,0.702908318187598,0.03964227603961146,0.004114397887636456,0.7436163715240747,0.5697171210884808,1
3731,tcp,http,S1,15741,41955,0,3,0,10,4,1,8,0,0,8,7,1,3,1,182,424,0.22776392068623508,0.5098100072395774,0.9101056442232295,0.224386426721485,0.7223811393914364,0.8418130864238009,0.45239063648683564,99,53,0.6938604751029117,0.6337949855480945,0.8186394325165749,0.08600480518403775,0.012154045144051273,0.6711002053440198,0.8351649034828201,0.9610674026619647,1
637,tcp,ssh,S1,32846,37077,0,2,0,8,1,0,3,0,0,15,5,1,8,1,166,472,0.8227844835851932,0.8431085925804193,0.05473539181170828,0.23724841956501996,0.16036309191460552,0.9478425801610645,0.6462862691212482,56,207,0.7049830649578632,0.5533790478668595,0.5526683032965846,0.5806741121014861,0.688263516130753,0.9612267880228011,0.07467832787532169,0.014348612885221823,1
464,udp,dns,S0,36668,30119,0,1,1,9,2,1,4,0,0,17,7,3,1,1,88,395,0.4531800350783972,0.8800535270037373,0.19039250032181276,0.5162452763894468,0.5903472248110794,0.4100015201699564,0.49820905961060447,86,34,0.46747796983201706,0.49685066938170364,0.7079648771913132,0.5848557406140614,0.8321254162507901,0.004084556016472618,0.702736311060845,0.5419217917222375,1
1004,udp,dns,S0,36961,22219,0,2,0,17,2,1,5,0,0,9,0,0,6,2,90,1,0.3764268568731636,0.531091596271908,0.942629613308111,0.4790879751584849,0.7032783859673374,0.6521825808788488,0.4928804303435407,236,201,0.026955223662532335,0.6299924460079158,0.5528986470969538,0.49862306374109455,0.6791099842560323,0.3434656086275314,0.8672496630538252,0.11220143568524987,1
91,icmp,telnet,SF,32028,22133,0,1,2,0,2,0,9,0,0,7,8,1,8,1,446,253,0.42475795200973465,0.697375029007352,0.00903366061462596,0.17043395361424352,0.20938070608688686,0.7888593913343253,0.7649460955987474,84,199,0.020679797349155038,0.04602967447745443,0.7457620419298205,0.2351007326512512,0.8730345847130371,0.9700337564021132,0.27977776771766694,0.06456801452546468,0
1692,tcp,dns,SF,19177,15269,0,2,0,23,4,0,4,0,0,19,7,0,3,2,455,209,0.5714491164129843,0.04506622576174113,0.5693934059569433,0.5556146191527398,0.6322677576941037,0.08389381451653743,0.16877978105561353,71,189,0.4205235561211049,0.19951595067702776,0.8345308123543341,0.6069081843888153,0.7037539763251951,0.49147537158189747,0.4142590966150025,0.8491555130954133,0
3134,udp,dns,SF,21082,16785,0,0,2,14,2,0,5,0,0,8,6,0,9,0,391,284,0.8815245917012593,0.24719021524236084,0.5595787871180071,0.9378230798609257,0.2936989109526412,0.5089672993858154,0.8162320252042377,18,213,0.0696307760552598,0.959749706177252,0.9004546948592271,0.9567788067444463,0.6669326223656501,0.05968820469345426,0.7002915749248869,0.8541684669497279,1
2937,tcp,ftp,REJ,16851,17193,0,4,1,6,1,1,4,0,0,9,8,0,8,0,127,103,0.07550834999022749,0.8358963504784003,0.5330623484048171,0.769910722969803,0.5841878650126338,0.757589092096005,0.17703642563743338,239,26,0.5687091243616229,0.5140257602534088,0.5712653742695759,0.5776626249266739,0.8865038724046143,0.9646384867051206,0.41060688665600986,0.8298561362992508,1
1608,tcp,ftp,REJ,170,44840,0,3,0,19,5,1,8,0,0,1,0,1,6,0,304,79,0.46204803660509974,0.6443442425605435,0.7020613806708027,0.586233867748053,0.9920637483801427,0.41647659693346295,0.9995353793487354,120,227,0.38507617980950737,0.25582958672944334,0.21956393819555553,0.4793065858824671,0.13327369614277862,0.21649154135138238,0.6144782030820991,0.31423322635810935,1
1626,tcp,telnet,SH,34206,43667,0,2,1,28,3,0,7,0,0,8,8,1,6,0,140,95,0.38245456351085705,0.2248080931386368,0.659726554584823,0.15477940346573238,0.15099250115802942,0.8408032040501426,0.8794914100465709,68,124,0.9253191433365008,0.9315209679415535,0.5345819571144935,0.7828223031339276,0.9829859631234551,0.5642235981694977,0.4202893387613261,0.3863595226322041,0
895,tcp,smtp,SF,49738,39443,0,0,1,22,4,1,4,0,0,17,8,2,2,2,122,446,0.7519722547590542,0.3787853974737416,0.16442908604017847,0.9436643774508471,0.7000738358012877,0.6234007911514322,0.3954951918253615,65,235,0.5846147435653055,0.782105210585734,0.5166950323832611,0.9577534764927389,0.47616260908561936,0.30215394870505485,0.4891719838358025,0.3449933887146418,1
3195,tcp,ssh,REJ,26603,12968,0,4,2,28,5,0,4,0,0,7,0,0,1,2,32,209,0.7452692590598997,0.8760085372769408,0.5780712958547646,0.8833861604093479,0.458461253901877,0.09429437434291699,0.3617836737949691,211,130,0.7390252296413705,0.7913448896909934,0.15896701439857475,0.3285859280506197,0.37169543010956363,0.9156477638080868,0.31593834693580947,0.6088991027116535,0
761,udp,ftp,SH,7367,27612,0,3,1,25,5,1,3,0,0,14,2,0,5,0,305,490,0.7880403523947129,0.4850662910349366,0.9512826769775646,0.14626396969497535,0.06073286489516738,0.1539269413575598,0.10324841067511181,7,53,0.4765032818552688,0.4039110664821096,0.23573111678920144,0.6715728623018828,0.3403754194602512,0.17373797884257414,0.2400103590923215,0.24496956550394355,1
3025,tcp,smtp,S1,34323,14048,0,2,2,5,3,1,9,0,0,6,4,2,7,2,459,265,0.004342727187253481,0.6453110992021787,0.7167473108245404,0.23397402998925232,0.6553163065646679,0.8029412510364279,0.12335149585881022,235,133,0.07033754270694303,0.5833735507453894,0.9818081601920505,0.8256746076233288,0.6287430494030074,0.6608816634273337,0.42362941917382035,0.5955658267626356,1
335,tcp,dns,SF,23012,49899,0,3,2,7,3,1,1,0,0,16,7,0,7,2,159,328,0.7289983278241327,0.8731618117636324,0.3075340941420299,0.8726784088013041,0.5077023451424149,0.3591373920364702,0.5454831075562054,51,251,0.3988641922048395,0.9417088922900354,0.3494082659929659,0.6794882595919765,0.26229377728141756,0.36094874253359743,0.7246326246414133,0.7734952252347382,1
3440,tcp,ftp,RSTR,7378,48300,0,3,2,6,0,0,1,0,0,2,7,4,9,0,419,94,0.6271534502216385,0.805996579583882,0.06830230352118816,0.6568455470375993,0.0327028000572247,0.7201787110346508,0.14847249109239735,63,206,0.2772727081543035,0.977269067657051,0.9368617386479505,0.8317342850531418,0.9243920303089822,0.38475445707970746,0.5134882223066306,0.3873794302449981,0
2354,tcp,telnet,S1,19756,9299,0,3,0,5,4,0,8,0,0,11,6,2,7,0,282,205,0.8936785105480618,0.7963044843688853,0.49962454129928224,0.3556475348795948,0.25633740579708975,0.5307097182317438,0.49531742176452054,4,91,0.23506177500444725,0.4350481867480517,0.7565241781572091,0.16619457882074173,0.5720974604388825,0.7244543987664364,0.6907443529519939,0.19799756153658654,1
